"Data","RT","AVA","IP"
"822","3","602.50696","5445.19656"
"823","3","622.8673","5455.22226"
"824","3","702.2204","5494.29678"
"825","3","706.91894","5496.6104"
"826","3","781.5735","5533.3713"
"827","3","860.9266","5572.44583"
"828","3","940.2797","5611.52035"
"829","3","967.94887","5625.14502"
"830","7","1019.6328","5650.59487"
"831","7","1098.9859","5689.6694"
"832","7","1124.56683","5702.26579"
"833","7","1178.339","5728.74392"
"834","7","1257.6921","5767.81844"
"835","7","1333.39078","5805.09348"
"836","7","1337.0452","5806.89297"
"837","7","1416.3983","5845.96749"
"838","7","1495.7514","5885.04202"
"839","7","1575.1045","5924.11654"
"840","7","1594.42071","5933.6281"
